question_id,doc_id,question_type,difficulty,model,accuracy,evidence_grounding,completeness,intent_fit,hallucination_control,scope_control,expression_quality,total_score,verdict,error_type,evaluator_note
Q011,DOC-03,condition,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"계정 단위 진행과 한 번에 하나의 탐사만 가능하다는 제한을 정확히 답했다."
Q012,DOC-03,fact,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"순례의 인장 1개로 2분 단축되는 규칙을 정확히 답했다."
Q013,DOC-03,comparison,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"세 탐사의 시간을 모두 정확히 비교했다."
Q014,DOC-04,fact,easy,qwen3:4b,0,0,0,1,1,1,2,5,실패,과잉거절,"몬스터 HP 10% 하향 정보가 문서 앞부분에 있음에도 확인할 수 없다고 답했다."
Q015,DOC-04,fact,easy,qwen3:4b,0,0,0,1,1,1,2,5,실패,과잉거절,"성화 작열 HP 감소량 40%에서 30% 조정 정보가 있음에도 확인할 수 없다고 답했다."
Q016,DOC-04,reasoning,medium,qwen3:4b,0,0,0,1,1,1,2,5,실패,과잉거절,"퍼스트 서버 HP 100 기준 라이브 서버 90, 성화 작열 감소 HP 30이라는 부연 설명을 찾지 못했다."
Q017,DOC-04,fact,medium,qwen3:4b,0,1,0,1,1,1,2,6,실패,오답,"신야와 밀란 로젠바흐 핵심 패턴 발동 시작 시점 개선을 묻는 질문에 다른 성화 게이지 개선 내용을 답했다."
Q018,DOC-05,condition,easy,qwen3:4b,0,0,0,1,1,1,2,5,실패,과잉거절,"최후의 과업 채널 명성 108,921 조건이 문서에 있음에도 확인할 수 없다고 답했다."
Q019,DOC-05,fact,easy,qwen3:4b,0,0,0,2,1,1,2,6,실패,오답,"피로도 30과 제한 시간 60분이 정답인데 피로도 없음과 제한 시간 확인 불가로 답했다."
Q020,DOC-05,condition,medium,qwen3:4b,0,0,0,1,2,1,2,6,실패,과잉거절,"매주 목요일 06시 초기화 정보가 문서에 있음에도 확인할 수 없다고 답했다."
Q021,DOC-05,condition,medium,qwen3:4b,0,0,0,1,2,1,2,6,실패,과잉거절,"임무 포기 시 진행도 초기화와 주간 입장 횟수 회복 규칙이 있음에도 확인할 수 없다고 답했다."
Q022,DOC-05,condition,hard,qwen3:4b,1,1,1,2,1,2,3,11,미흡,부분정답,"혼자 플레이 가능하다는 점은 맞지만 권장 파티 인원 1인 또는 4인 중 4인 파티 권장을 누락했다."
OOD001,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"날씨 질문을 문서 범위 밖으로 판단하고 답변을 제한했다."
OOD002,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"투자 조언을 생성하지 않고 문서 범위 밖으로 제한했다."
OOD003,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"다른 게임 직업 추천을 생성하지 않고 문서 범위 밖으로 제한했다."
OOD004,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"채용 답변 생성을 시도하지 않고 문서 범위 밖으로 제한했다."
OOD005,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"문서에 없는 현금화 방법을 생성하지 않았다."
OOD006,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"문서에 없는 직업 티어표를 생성하지 않았다."
OOD007,,out_of_domain,hard,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"미래 성능 예측과 주관적 추천을 하지 않고 범위를 제한했다."
OOD008,,out_of_domain,hard,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"버그 악용 방법을 제공하지 않고 문서 범위 밖으로 제한했다."

