"retriever","question_id","doc_id","question_type","difficulty","question","retrieved_chunk_ids","top1_chunk_id","phrase_hits","phrase_total","phrase_hit_ratio","token_recall","evidence_hit","top1_phrase_hits","top1_phrase_total","top1_phrase_hit_ratio","top1_token_recall","top1_evidence_hit","status","error"
"bm25","Q012","DOC-03","fact","medium","광휘의 행로에서 탐사 시간을 줄이려면 무엇을 얼마나 소모해야 하는가?","DOC-03-C0321|DOC-03-C0320|DOC-03-C0322|DOC-03-C0319|DOC-03-C0324|DOC-03-C0323|DOC-03-C0331|DOC-03-C0330","DOC-03-C0321","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q013","DOC-03","comparison","medium","기억의 숲 탐사, 단초의 길 탐사, 핀더의 정원 탐사의 탐사 시간은 각각 얼마인가?","DOC-03-C0326|DOC-03-C0327|DOC-03-C0330|DOC-03-C0325|DOC-03-C0331|DOC-03-C0328|DOC-03-C0343|DOC-03-C0333","DOC-03-C0326","6","6","1.000","1.000","1","5","6","0.833","1.000","1","retrieved",""
"bm25","Q014","DOC-04","fact","easy","최후의 과업 라이브 서버 업데이트에서 몬스터 HP는 어떻게 조정되는가?","DOC-04-C0387|DOC-04-C0386|DOC-04-C0384|DOC-04-C0385|DOC-04-C0388|DOC-04-C0389|DOC-04-C0453|DOC-04-C0452","DOC-04-C0387","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q015","DOC-04","fact","easy","성화 작열 HP 감소량은 몇 퍼센트에서 몇 퍼센트로 조정되는가?","DOC-04-C0387|DOC-04-C0386|DOC-04-C0384|DOC-04-C0385|DOC-04-C0388|DOC-04-C0389|DOC-04-C0481|DOC-04-C0390","DOC-04-C0387","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q016","DOC-04","reasoning","medium","퍼스트 서버 HP를 100으로 보면 라이브 서버 HP와 성화 작열 감소 HP는 각각 얼마인가?","DOC-04-C0387|DOC-04-C0386|DOC-04-C0390|DOC-04-C0389|DOC-04-C0388|DOC-04-C0384|DOC-04-C0385|DOC-04-C0478","DOC-04-C0387","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q017","DOC-04","fact","medium","신야와 밀란 로젠바흐 관련해서 개선되는 것은 무엇인가?","DOC-04-C0477|DOC-04-C0478|DOC-04-C0476|DOC-04-C0479|DOC-04-C0475|DOC-04-C0480|DOC-04-C0481|DOC-04-C0384","DOC-04-C0477","1","1","1.000","1.000","1","0","1","0.000","0.625","0","retrieved",""
"bm25","Q018","DOC-05","condition","easy","최후의 과업 채널은 명성 몇부터 입장 가능한가?","DOC-05-C0637|DOC-05-C0636|DOC-05-C0634|DOC-05-C0635|DOC-05-C0633|DOC-05-C0638|DOC-05-C0736|DOC-05-C0738","DOC-05-C0637","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q019","DOC-05","fact","easy","최후의 과업 콘텐츠 입장 시 소모 피로도와 제한 시간은 각각 얼마인가?","DOC-05-C0642|DOC-05-C0641|DOC-05-C0652|DOC-05-C0653|DOC-05-C0654|DOC-05-C0649|DOC-05-C0638|DOC-05-C0643","DOC-05-C0642","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bm25","Q020","DOC-05","condition","medium","최후의 과업의 주간 입장 제한과 통합 보상 횟수는 언제 초기화되는가?","DOC-05-C0644|DOC-05-C0641|DOC-05-C0642|DOC-05-C0645|DOC-05-C0643|DOC-05-C0648|DOC-05-C0640|DOC-05-C0651","DOC-05-C0644","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q021","DOC-05","condition","medium","최후의 과업에서 임무 포기 시 던전 진행도와 주간 입장 횟수는 어떻게 되는가?","DOC-05-C0651|DOC-05-C0650|DOC-05-C0649|DOC-05-C0648|DOC-05-C0647|DOC-05-C0645|DOC-05-C0652|DOC-05-C0646","DOC-05-C0651","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q022","DOC-05","condition","hard","최후의 과업을 혼자 플레이할 수 있는지, 그리고 권장 파티 인원은 어떻게 되는지 설명해줘.","DOC-05-C0650|DOC-05-C0637|DOC-05-C0638|DOC-05-C0649|DOC-05-C0674|DOC-05-C0640|DOC-05-C0639|DOC-05-C0648","DOC-05-C0650","2","2","1.000","1.000","1","0","2","0.000","0.500","0","retrieved",""
"bge-m3","Q001","DOC-01","fact","easy","아포칼립스 : 안티엔바이 1, 2단계 클리어 시 새로 얻을 수 있는 주요 재화는 무엇인가?","DOC-01-C0003|DOC-01-C0002|DOC-01-C0001|DOC-01-C0019|DOC-01-C0020|DOC-01-C0021|DOC-01-C0023|DOC-01-C0022","DOC-01-C0003","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bge-m3","Q002","DOC-01","fact","easy","태초 광휘의 의지는 광휘의 잔영 몇 개로 구매할 수 있고 구매 제한은 어떻게 되는가?","DOC-01-C0009|DOC-01-C0010|DOC-01-C0007|DOC-01-C0011|DOC-01-C0008|DOC-01-C0012|DOC-01-C0006|DOC-01-C0005","DOC-01-C0009","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bge-m3","Q003","DOC-01","fact","easy","태초 소울 1개 상자의 월 구매 제한과 가격은 무엇인가?","DOC-01-C0012|DOC-01-C0009|DOC-01-C0011|DOC-01-C0006|DOC-01-C0010|DOC-01-C0008|DOC-01-C0013|DOC-01-C0014","DOC-01-C0012","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bge-m3","Q004","DOC-01","condition","medium","에픽 소울 1개 상자의 남은 구매 횟수는 다음 달로 이월되는가?","DOC-01-C0013|DOC-01-C0014|DOC-01-C0012|DOC-01-C0015|DOC-01-C0011|DOC-01-C0016|DOC-01-C0009|DOC-01-C0010","DOC-01-C0013","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bge-m3","Q005","DOC-02","fact","easy","5/20 퍼스트 서버 업데이트에서 추가된 신규 캐릭터는 누구인가?","DOC-02-C0037|DOC-02-C0039|DOC-02-C0038|DOC-02-C0040|DOC-02-C0077|DOC-02-C0076|DOC-02-C0041|DOC-02-C0078","DOC-02-C0037","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
"bge-m3","Q006","DOC-02","fact","easy","브레이커는 어떤 캐릭터의 몇 번째 전직인가?","DOC-02-C0052|DOC-02-C0044|DOC-02-C0043|DOC-02-C0042|DOC-02-C0053|DOC-02-C0076|DOC-02-C0057|DOC-02-C0050","DOC-02-C0052","2","2","1.000","1.000","1","1","2","0.500","0.457","1","retrieved",""
"bge-m3","Q007","DOC-02","fact","medium","브레이커의 덱 브레이커 스킬은 어떤 효과를 가지는가?","DOC-02-C0050|DOC-02-C0049|DOC-02-C0045|DOC-02-C0056|DOC-02-C0048|DOC-02-C0057|DOC-02-C0043|DOC-02-C0046","DOC-02-C0050","2","2","1.000","1.000","1","0","2","0.000","0.529","0","retrieved",""
"bge-m3","Q008","DOC-02","summary","medium","5/20 퍼스트 서버 업데이트의 핵심을 유저 관점에서 짧게 요약해줘.","DOC-02-C0037|DOC-02-C0039|DOC-02-C0038|DOC-02-C0272|DOC-02-C0040|DOC-02-C0273|DOC-02-C0270|DOC-02-C0290","DOC-02-C0037","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
"bge-m3","Q009","DOC-03","fact","easy","광휘의 행로는 어떤 NPC 메뉴를 통해 진행할 수 있는가?","DOC-03-C0320|DOC-03-C0321|DOC-03-C0319|DOC-03-C0322|DOC-03-C0341|DOC-03-C0355|DOC-03-C0329|DOC-03-C0358","DOC-03-C0320","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q010","DOC-03","condition","easy","광휘의 행로 탐사는 어느 정도 명성부터 진행할 수 있는가?","DOC-03-C0321|DOC-03-C0322|DOC-03-C0320|DOC-03-C0341|DOC-03-C0319|DOC-03-C0342|DOC-03-C0329|DOC-03-C0332","DOC-03-C0321","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q011","DOC-03","condition","medium","광휘의 행로 탐사는 여러 개를 동시에 진행할 수 있는가?","DOC-03-C0321|DOC-03-C0320|DOC-03-C0322|DOC-03-C0319|DOC-03-C0341|DOC-03-C0329|DOC-03-C0342|DOC-03-C0332","DOC-03-C0321","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q012","DOC-03","fact","medium","광휘의 행로에서 탐사 시간을 줄이려면 무엇을 얼마나 소모해야 하는가?","DOC-03-C0321|DOC-03-C0322|DOC-03-C0320|DOC-03-C0324|DOC-03-C0329|DOC-03-C0331|DOC-03-C0328|DOC-03-C0319","DOC-03-C0321","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q013","DOC-03","comparison","medium","기억의 숲 탐사, 단초의 길 탐사, 핀더의 정원 탐사의 탐사 시간은 각각 얼마인가?","DOC-03-C0326|DOC-03-C0323|DOC-03-C0327|DOC-03-C0325|DOC-03-C0328|DOC-03-C0330|DOC-03-C0324|DOC-03-C0329","DOC-03-C0326","6","6","1.000","1.000","1","5","6","0.833","1.000","1","retrieved",""
"bge-m3","Q014","DOC-04","fact","easy","최후의 과업 라이브 서버 업데이트에서 몬스터 HP는 어떻게 조정되는가?","DOC-04-C0387|DOC-04-C0386|DOC-04-C0385|DOC-04-C0384|DOC-04-C0389|DOC-04-C0390|DOC-04-C0388|DOC-04-C0481","DOC-04-C0387","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q015","DOC-04","fact","easy","성화 작열 HP 감소량은 몇 퍼센트에서 몇 퍼센트로 조정되는가?","DOC-04-C0387|DOC-04-C0386|DOC-04-C0390|DOC-04-C0389|DOC-04-C0385|DOC-04-C0481|DOC-04-C0388|DOC-04-C0501","DOC-04-C0387","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q016","DOC-04","reasoning","medium","퍼스트 서버 HP를 100으로 보면 라이브 서버 HP와 성화 작열 감소 HP는 각각 얼마인가?","DOC-04-C0390|DOC-04-C0386|DOC-04-C0387|DOC-04-C0389|DOC-04-C0385|DOC-04-C0388|DOC-04-C0501|DOC-04-C0500","DOC-04-C0390","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q017","DOC-04","fact","medium","신야와 밀란 로젠바흐 관련해서 개선되는 것은 무엇인가?","DOC-04-C0388|DOC-04-C0481|DOC-04-C0480|DOC-04-C0483|DOC-04-C0478|DOC-04-C0385|DOC-04-C0387|DOC-04-C0401","DOC-04-C0388","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q018","DOC-05","condition","easy","최후의 과업 채널은 명성 몇부터 입장 가능한가?","DOC-05-C0637|DOC-05-C0638|DOC-05-C0636|DOC-05-C0635|DOC-05-C0738|DOC-05-C0746|DOC-05-C0740|DOC-05-C0634","DOC-05-C0637","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q019","DOC-05","fact","easy","최후의 과업 콘텐츠 입장 시 소모 피로도와 제한 시간은 각각 얼마인가?","DOC-05-C0638|DOC-05-C0637|DOC-05-C0642|DOC-05-C0636|DOC-05-C0654|DOC-05-C0755|DOC-05-C0641|DOC-05-C0756","DOC-05-C0638","3","3","1.000","1.000","1","2","3","0.667","0.316","1","retrieved",""
"bge-m3","Q020","DOC-05","condition","medium","최후의 과업의 주간 입장 제한과 통합 보상 횟수는 언제 초기화되는가?","DOC-05-C0644|DOC-05-C0643|DOC-05-C0641|DOC-05-C0642|DOC-05-C0645|DOC-05-C0636|DOC-05-C0635|DOC-05-C0634","DOC-05-C0644","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q021","DOC-05","condition","medium","최후의 과업에서 임무 포기 시 던전 진행도와 주간 입장 횟수는 어떻게 되는가?","DOC-05-C0651|DOC-05-C0650|DOC-05-C0649|DOC-05-C0648|DOC-05-C0647|DOC-05-C0642|DOC-05-C0654|DOC-05-C0645","DOC-05-C0651","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bge-m3","Q022","DOC-05","condition","hard","최후의 과업을 혼자 플레이할 수 있는지, 그리고 권장 파티 인원은 어떻게 되는지 설명해줘.","DOC-05-C0638|DOC-05-C0637|DOC-05-C0738|DOC-05-C0740|DOC-05-C0737|DOC-05-C0640|DOC-05-C0736|DOC-05-C0636","DOC-05-C0638","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
