question_id,doc_id,question_type,difficulty,question,gold_answer,evidence,expected_behavior,model,model_answer,latency_sec,status,error
Q011,DOC-03,condition,medium,광휘의 행로 탐사는 여러 개를 동시에 진행할 수 있는가?,"아니다. 탐사는 계정 단위로 진행되며, 한 번에 하나의 탐사만 진행할 수 있다.","탐사는 계정 단위로 진행되며, 한 번에 하나의 탐사만 진행할 수 있습니다.",동시 진행 불가와 계정 단위를 함께 답한다.,qwen3:4b,"광휘의 행로 탐사는 계정 단위로 진행되며, 한 번에 하나의 탐사만 진행할 수 있습니다. 따라서 여러 개를 동시에 진행할 수 없습니다. 

제공된 문서에서 ""탐사는 계정 단위로 진행되며, 한 번에 하나의 탐사만 진행할 수 있습니다.""라는 내용이 명시되어 있습니다. 이 조건에 따라 질문에 대한 정답은 ""아니요""입니다.",11.823,success,
Q012,DOC-03,fact,medium,광휘의 행로에서 탐사 시간을 줄이려면 무엇을 얼마나 소모해야 하는가?,순례의 인장 1개를 추가로 소모하면 잔여 탐사 시간을 2분 단축할 수 있다.,순례의 인장 1개를 추가로 소모하여 잔여 탐사 시간을 2분씩 단축할 수 있습니다.,소모 재료와 단축 시간을 정확히 답한다.,qwen3:4b,"광휘의 행로에서 탐사 시간을 줄이려면 **순례의 인장 1개**를 소모하면 잔여 탐사 시간을 **2분씩 단축**할 수 있습니다. 이는 잔여 시간이 2분 미만인 경우에도 1개의 순례의 인장으로 추가로 단축 가능합니다. 

제공된 문서에서 명시된 내용에 따라 정확한 수치와 조건을 반영하였습니다.",14.557,success,
Q013,DOC-03,comparison,medium,"기억의 숲 탐사, 단초의 길 탐사, 핀더의 정원 탐사의 탐사 시간은 각각 얼마인가?","기억의 숲 탐사는 4시간, 단초의 길 탐사는 12시간, 핀더의 정원 탐사는 20시간이다.",기억의 숲 탐사 / 4시간 / 단초의 길 탐사 / 12시간 / 핀더의 정원 탐사 / 20시간,세 탐사의 시간을 모두 비교해 답한다.,qwen3:4b,"기억의 숲 탐사: 4시간  
단초의 길 탐사: 12시간  
핀더의 정원 탐사: 20시간",10.185,success,
Q014,DOC-04,fact,easy,최후의 과업 라이브 서버 업데이트에서 몬스터 HP는 어떻게 조정되는가?,몬스터 HP가 10% 일괄 하향된다.,몬스터 HP 10% 일괄 하향 및 성화 작열 HP 감소량 40%에서 30%로 조정,수치와 방향을 정확히 답한다.,qwen3:4b,"제공된 문서에서 최후의 과업 라이브 서버 업데이트에서 몬스터 HP 조정에 대한 구체적인 정보가 포함되어 있지 않습니다. 문서에서는 성화 시스템, 보상 아이템, 매칭 모드 관련 내용을 설명하지만, 몬스터 HP의 수치 조정 방식이나 관련 로직에 대한 명시적인 설명이 없습니다. 따라서 질문에 대한 정확한 답변을 제공할 수 없습니다.

**답변**: 제공된 문서에서 확인할 수 없습니다.",20.311,success,
Q015,DOC-04,fact,easy,성화 작열 HP 감소량은 몇 퍼센트에서 몇 퍼센트로 조정되는가?,성화 작열 HP 감소량은 40%에서 30%로 조정된다.,성화 작열 HP 감소량 40%에서 30%로 조정,변경 전후 수치를 답한다.,qwen3:4b,"제공된 문서에서 성화 작열(성화 작열 상태)의 HP 감소량에 대한 구체적인 퍼센트 조정 범위나 수치가 명시되지 않았습니다. 문서에서는 ""성화 작열 상태 돌입 시, '성화의 라미에르'가 몬스터를 일정 시간 동안 제압하며, 충분한 데미지를 가할 경우 몬스터가 큰 데미지를 받는다""는 설명만 포함되며, 정확한 HP 감소 퍼센트 범위나 조정 전/후 수치가 제공되지 않았습니다. 따라서 해당 질문에 대한 답변은 ""제공된 문서에서 확인할 수 없습니다.""입니다.",21.378,success,
Q016,DOC-04,reasoning,medium,퍼스트 서버 HP를 100으로 보면 라이브 서버 HP와 성화 작열 감소 HP는 각각 얼마인가?,"라이브 서버 HP는 90이고, 성화 작열로 감소하는 HP는 30이다.","퍼스트 서버 HP를 100으로 했을 때, 라이브 서버 HP는 90이 되고, 성화 작열로 인해 감소하는 HP는 30이 됩니다.",문서의 부연설명을 그대로 계산해 답한다.,qwen3:4b,"제공된 문서에서 확인할 수 없습니다.  
(문서 내에서는 서버의 HP 값이나 ""성화 작열"" 관련 HP 감소 수치에 대한 정보가 전혀 포함되어 있지 않습니다. ""퍼스트 서버""와 ""라이브 서버""의 HP에 대한 설명은 문서에서 전혀 나타나지 않았습니다.)",22.588,success,
Q017,DOC-04,fact,medium,신야와 밀란 로젠바흐 관련해서 개선되는 것은 무엇인가?,신야와 밀란 로젠바흐의 핵심 패턴 발동 시작 시점이 개선된다.,"신야, 밀란 로젠바흐의 핵심 패턴 발동 시작 시점 개선",대상과 개선 내용을 모두 답한다.,qwen3:4b,"성화 작열 액션 시작, 진행 도중 성화 게이지가 100%로 표시되도록 개선되었습니다.",44.596,success,
Q018,DOC-05,condition,easy,최후의 과업 채널은 명성 몇부터 입장 가능한가?,"최후의 과업 채널은 모험가 명성 108,921부터 입장 가능하다.","<최후의 과업> 채널은 모험가 명성 108,921부터 입장이 가능합니다.",명성 수치를 정확히 답한다.,qwen3:4b,"제공된 문서에서 ""최후의 과업 채널""에 대한 명성 요구 조건을 찾을 수 없습니다.

문서에서 ""최후의 과업 시나리오 던전 정보"" 섹션에 명시적으로 ""입장 명성: 없음""이라고 기술되어 있습니다. 이는 명성에 따라 제한이 없음을 의미하지만, 문서에서 ""채널""이라는 용어는 전혀 사용되지 않았습니다.

문제는 ""최후의 과업 채널""이라는 표현이 제공된 문서에서 직접적으로 언급되지 않았기 때문에, 명성 몇부터 입장 가능한지에 대한 정확한 정보를 찾을 수 없습니다.

따라서, 제공된 문서에서 확인할 수 없습니다.",28.293,success,
Q019,DOC-05,fact,easy,최후의 과업 콘텐츠 입장 시 소모 피로도와 제한 시간은 각각 얼마인가?,"입장 시 피로도 30을 소모하며, 던전 입장 시 60분의 제한 시간이 적용된다.",입장 시 소모 피로도 / 30 / 던전 입장 시 60분의 제한 시간이 적용됩니다.,피로도와 제한 시간을 모두 답한다.,qwen3:4b,"제공된 문서에서 최후의 과업 콘텐츠 입장 시 소모 피로도는 ""없음""으로 명시되어 있습니다. 그러나 제한 시간에 대한 정보는 제공된 문서에서 확인할 수 없습니다. 

따라서 답변은 다음과 같습니다:
- 소모 피로도: 없음
- 제한 시간: 제공된 문서에서 확인할 수 없습니다.",23.999,success,
Q020,DOC-05,condition,medium,최후의 과업의 주간 입장 제한과 통합 보상 횟수는 언제 초기화되는가?,주간 입장 제한과 통합 보상 횟수는 매주 목요일 06시에 초기화된다.,주간 입장 제한 및 통합 보상 횟수는 매주 목요일 06시에 초기화됩니다.,초기화 요일과 시간을 정확히 답한다.,qwen3:4b,제공된 문서에서 확인할 수 없습니다.,14.857,success,
Q021,DOC-05,condition,medium,최후의 과업에서 임무 포기 시 던전 진행도와 주간 입장 횟수는 어떻게 되는가?,"임무 포기 시 던전 진행도는 모두 초기화되고, 주간 입장 횟수는 회복된다.",임무 포기 시 던전 진행도가 모두 초기화되며 주간 입장 횟수가 회복됩니다.,진행도 초기화와 입장 횟수 회복을 함께 답한다.,qwen3:4b,"제공된 문서에서 확인할 수 없습니다.  
(문서 내에서 최후의 과업 던전 관련 임무 포기 시 던전 진행도 및 주간 입장 횟수에 대한 구체적인 설명이나 규칙이 포함되어 있지 않습니다.)",20.680,success,
Q022,DOC-05,condition,hard,"최후의 과업을 혼자 플레이할 수 있는지, 그리고 권장 파티 인원은 어떻게 되는지 설명해줘.",가능하다. 문서상 권장 파티 인원은 1인 또는 4인 파티다.,권장 파티 인원 / 1인 또는 4인 파티 권장,혼자 가능하다는 판단과 근거 수치를 함께 답한다.,qwen3:4b,"제공된 문서에서 ""최후의 과업 시나리오 던전 정보"" 섹션에 **""인원 제한: 1인""**이라는 명시적인 조건이 기재되어 있습니다. 이는 최후의 과업 던전이 **혼자 플레이할 수 있는 독립적인 던전**임을 확인할 수 있습니다. 

또한, 해당 던전의 **입장 조건**으로 115레벨 이상의 플레이어가 수락한 액트 퀘스트를 완료한 후에만 입장 가능하며, **인원 제한이 1인**으로 정해져 있어 권장 파티 인원은 **1인**입니다.

따라서 정답은 다음과 같습니다:  
**최후의 과업을 혼자 플레이할 수 있습니다. 권장 파티 인원은 1인입니다.**",24.366,success,
